entry_id,headword,pdlma,attribution_entry,analysis_codes_raw,verb_class,irregular,sense_id,definition_en,definition_es,semantic_domain,etymology,attribution_sense,habitual,potential,completive,progressive,perfect,future,counterfactual,andative,documented_tam_count,example_count,example_1,example_1_es,example_2,example_2_es
usibaba,rusibaba,-u-si-baba,EJG;JLC;RLC;VP,vA:caus,A,NO,1888,To itch (lit. to cause to itch).,"Dar comezón, picar (lit. hacer que sienta comezón).",actions,,,r.u-si-baba,g.u-si!-baba,bi-si-baba,,,,,,3,2,Cusúbaba nisaluna ladé'.,Me da comezón el sudor en la piel.,Rusibaba nisa ladi binnì.,El agua hace que le de comezón a la gente.
usiballi7,rusibalí',-u-si-balli!7,RLC,vA:caus,A,NO,1889,"To cause the taste of water to change, either by making it salty or by making it acquire an unpleasant taste.","Hacer que cambie el sabor del agua, ya sea que la haga salada o que adquiera un sabor desagradable.",actions,,RLC,r.u-su-balli!7,(g)-u-si!-balli!7,bi-su-balli!7,,,,,,3,2,Bisubalí'be (gu)endaro.,Hizo la comida sin sabor.,Rusubalí' nisa.,Agua (de la llave) que sabe raro.
usibani,rusibanì,-u-si-bani*,EJG;RLC;VP,vA:caus,A,NO,1890,To cause to revive or come back to life.,Hacer revivir o resucitar.,actions,,,r.u-si-bani*,g.u-si!-bani*,bi-si-bani*,,,,,,3,2,Bisubanìbe xiiñi'.,Levantó a su hijo (de la enfermedad).,Bisubanì diùxi ca' xiiñi'.,Resucitó Dios a sus hijos.
usibapa,rusibapa,-u-si-bapa,VC,vA:caus,A,NO,1891,"To cause not to acquire too sweet a taste, in reference to food.","Hacer que no adquiera un sabor muy dulce, dicho de un alimento.",actions,,JLC,r.u-si-bapa,g.u-si!-bapa,bi-si-bapa,,,,,,3,0,,,,
usibe7,rusibè',-u-si-be*7,EJG;JLC;RLC;VP,vA:caus,A,NO,1892,To cause to become narrow.,Hacer que se estreche o se haga angosto.,actions,,,r.u-si-be*7,g.u-si!-be*7,bi-si-be*7,,,,,,3,1,Bisubè'lu' ruaani.,La hiciste más chiquita de la cintura (ej. una enagüa).,,
usibiru,rusibìrù,-u-si-bi*ru*,JLC;RLC,vA:caus,A,NO,1893,To make something small.,Empequeñecerlo (lit. hacerlo pequeño).,actions,,,r.u-si-bi*ru*,g.u-si-bi*ru*,bi-su-bi*ru*,,,,,,3,1,Bisubìrù marrquesòte xtì' para (g)ugaàndà'.,Cortó chiquito el marquesote para que alcance.,,
usibiidi,rusibiidi',-u-si-biidi,EJG;JLC;RGL;RLC,vA:caus,A,NO,1894,To dirty (lit. to cause to become dirty).,Ensuciar (lit. hacer que se ensucie).,actions,,,r.u-si-biidi,(g).u-si!-biidi,bi-si-biidi; ~ bi-su-biidi,,,,,,3,1,Rusibiidi' xcuídi xhaba.,El niño ensucia su ropa.,,
usibumbu,rusibumbù,-u-si-bumbu*,RLC,vA:caus,A,NO,1895,To cause to become swollen or puffed up.,"Hinchar, abombar (lit. hacerlo abombado).",actions,,,r.u-si-bumbu*,g.u-si!-bumbu*,bi-si-bumbu*,,,,,,3,1,Rusibumbù xcuídi.,El niño hace trompa (ej. por enojo).,,
usibumburwaa,rusibumbù ruaa,-u-si-bumbu* rwaa,EJG;RLC,vA:caus,A,NO,1896,To cause the mouth to puff up.,Hinchar o abombar la boca (lit. hacer la boca abombada).,actions,,JLC;RLC,r.u-si-bumbu* # rwa^a,,,,,,,,1,1,Rusibumbù xiiñi' Gàbi ruaa.,La hija de Gaby hace pucheros con la boca.,,
usibupu,rusibupu,-u-si-bupu,VC,vA:caus,A,NO,1897,To make something foam or froth.,Hacerlo espumar.,actions,,RGL;RLC,r.u-si-bupu,g.u-si!-bupu,bi-si-bupu,,,,,,3,0,,,,
usichaaba,rusichaaba',-u-si-chaaba,EJG;JLC;ND;VP,vA:caus,A,NO,1898,To cause laziness.,"Hacerlo tener flojera, causar pereza.",actions,,,r.u-si-chaaba,g.u-su!-chaaba,bi-si-chaaba,,,,,,3,1,Zaà gusúchaaba'ni laa.,Deja que le de eso flojera.,,
