ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
4332,Illness resulting from fright after being chased by cattle.,dxiibiyuze,,,,,,,,,,,wellness,Enfermedad de espanto que causa el que el ganado le persiga a uno.
4333,"Disease caused by the deep shame that may be felt when making love and, especially, when watching a couple make love. It is associated with heat, can affect anyone, and is considered very dangerous. It causes sadness, fatigue, headache, weight and hair loss, fever, and a cough that announces that the sick person is close to death. To avoid the disease, it is recommended to tell what was done or seen. In the latter case, the people seen making love become ill. Medications are not useful in treating this disease.",dxiibigidxa,RLC,,,,,,,,,,wellness,"Enfermedad causada por la profunda vergüenza que pudiera sentirse al hacer el amor y, sobre todo, al ver a una pareja hacer el amor. Se asocia con el calor, puede afectar a cualquiera, y se considera muy peligrosa. Causa tristeza, sueño, dolor de cabeza, pérdida de peso y del cabello, fiebre, y tos que anuncia que el enfermo está cerca de la muerte. Para evitar la enfermedad, se recomienda contar lo que se hizo o se vio. En el segundo caso, la pareja que se vio se enferma. Los medicamentos no son útiles para aliviar esta enfermedad."
4334,Angry.,dxiichi-2,,,,,,,,,,,behavior,Enojado.
4335,Bare and therefore smooth after having lost hair or feathers.,dxiibi-2,,,,,,,,,,,states,"Liso, por haber perdido el pelo o las plumas."
4336,"Tightly, securely.",dxiichi-3,,,,,,,,,,,manner,"Fuertemente, duramente, afianzadamente."
4337,"Work, job, trade, task, labor.",dxiinya,,,,,,,,,,,occupations,"Trabajo, oficio, faena, labor."
4338,Menstruation.,dxiinyabeewu,,,,,,,,,,,wellness,Menstruación.
4339,Work by and for the community.,dxiinyaladegidxi,EJG;JLC;RLC,,,,,,,,,,occupations,Trabajo comunal.
4340,Agricultural work.,dxiinyaranyaa,,,,,,,,,,,cultivation,Trabajo de campo.
4341,Jiménez Girón (1979:70) translates this lexeme as walking stiff or as staff.,dximba,,,,,,,,,,,tools and implements,Jiménez Girón (1979:70) traduce este lexema como bastón o bordón.
4342,"Completely lit up, completely cleared up. By extension, unambiguously.",dxindxi,,,,,,,,,,,manner,"Completamente iluminado, completamente claro. Por extensión, sin ambigüedad."
4343,"Sugar, sweets. By extension, diabetes.",dxinya-2,,,,,,,,,,,food,"Azúcar, dulce. Por extensión, diabetes."
4344,Lightly candied almond sweets.,dxinyadealmendra,RLC,,,,de,,,,,,food,Dulce de almendra.
