ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
212,Ripe. This lexeme can also be used to refer to a particular type of skin lesion that is removed or drained once it is said to have matured or reached the end of its development.,nagwi,,,,,,,,,,,wellness,"Maduro, como una fruta que ya se puede comer, o como un nacido cuando ya se puede reventar y quitar."
213,Someone who talks with a nasal sound.,nakaanga,,,,,,,,,,,physical attributes,Gangoso.
214,Fat and with sagging skin.,nakaawa,,,,,,,,,,,physical attributes,Gordo o gorda y con flacidez.
215,Dark.,nakawi,,,,,,,,,,,phenomena,Oscuro.
216,"Hollow and about to collapse, as would be the case of a tree or a house in poor condition.",nakeebe,,,,,,,,,,,states,"Bofo, carcomido y a punto de caerse, como un palo o árbol, o como una casa en malas condiciones."
217,New.,nakubi,,,,,,,,,,,states,Nuevo.
218,"Wrinkled up, contracted.",nakuuxu,,,,,,,,,,,shape,"Arrugado, contraído."
219,Deaf.,nakwaatadyaga,,,,,,,,,,,wellness,Sordo.
220,Bent out of shape.,nakwanda,,,,,,,,,,,shape,"Chueco, que perdió su forma original."
221,"Wasted away to the point of being bent out of shape, whether as a result of heat exposure or physical strain.",nakwexke,,,,,,,,,,,states,Desgastado al grado de haberse enchuecado ya sea por calor o por desgaste físico.
222,"Glutton, big eater.",nala,,,,,,,,,,,character attributes,"Glotón, tragón."
223,Wide.,nalagalu,,,,,,,,,,,shape,Ancho.
224,"Thin, skinny.",nalase7,,,,,,,,,,,size,"Delgado, flaco."
225,"Smooth, flat.",nalisu,,,,,liso,,,,,,manner,"Liso, plano."
226,"Tied up, entangled.",naliibi,,,,,,,,,,,states,"Amarrado, atado, enredado."
227,"Tall and skinny. By extension, weak and unstable, as would be a newly born animal that cannot stand up yet. This participle is also used to refer to a small coastal bird.",nalilli,,,,,,,,,,,physical attributes,"Alto y flaco. Por extensión, enclenque y débil, como un animal recién nacido que no se puede parar. Hay quienes usan este participio para nombrar a un pájaro pequeño de la costa."
228,"Round, spherical. By extension, fat.",nalollo,,,,,,,,,,,shape,"Redondo, esférico. Por extensión, gordo."
229,"Heavy, especially in relation to the tongue of a person who articulates words differently from most people.",nalote,,,,,,,,,,,wellness,"Como si estuviera pesada, en referencia a la lengua de una persona que no articula las palabras como la mayoría de la gente."
230,"Crazy, anxious, agitated.",nalugu7,,,,,,,,,,,behavior,"Loco, ansioso, acelerado, agitado, alborotado."
231,"Shaggy, bearded, with fringes, hairy, fibrous, like some sea animals, a shaggy dog, or a fibrous palm leaf.",naluzhu,,,,,,,,,,,physical attributes,"Lanudo, barbudo, flecudo, filamentoso, como algunos animales de mar, un perro lanudo, o una palma con muchos filamentos."
232,"Wild, uncouth, uneducated.",nama7,,,,,,,,,,,character attributes,"Salvaje, cimarrón, mal educado."
233,Thick.,namboolo,,,,,,,,,,,size,Grueso.
234,"Very small, minuscule.",namiizi,,,,,,,,,,,size,"Pequeño, pequeñísimo."
235,"This lexeme describes a well-dressed, well-groomed woman who moves and speaks with many gestures, to the point of being pretentious.",namona,,,,,mona,,,,,,social categories,"Este lexema describe a una mujer bien vestida, muy arreglada y que se mueve y habla con muchos ademanes, lo que la hace parecer presumida."
236,"This lexeme describes a well-dressed, well-groomed, pretentious man.",namono,,,,,mono,,,,,,social categories,"Este lexema describe a un hombre bien vestido, muy arreglado, y presumido."
237,Cold.,nananda,,,,,,,,,,,phenomena,Frío.
238,"Fine, delicate.",nanwi,,,,,,,,,,,manner,"Fino, delicado."
239,Heavy.,nanaa,,,,,,,,,,,size,Pesado.
240,"Viscous or matted, as when hair develops residue and becomes matted, or due to accumulated dirt.",nanaadi,,,,,,,,,,,manner,"Viscoso o apelmazado por mugre acumulada, o como cuando el cabello se apelmaza por suciedad o por lavarse sin champú."
241,"Thick, dense.",nanana,,,,,,,,,,,states,"Espeso, denso."
242,Sweet.,nanaxi,,,,,,,,,,,manner,Dulce.
243,Describes a tortilla eaten on its own and not as part of a meal.,nanazha,,,,,,,,,,,food,Describe una tortilla que se come sin comida.
244,"Thin, light. With regards to money, it refers to small coins especially as opposed to bills.",nandase,,,,,,,,,,,shape,"Menudito, suave, ligero. Con relación al dinero, se usa para referirse a las monedas en comparación con los billetes."
245,Hot.,nanda7,,,,,,,,,,,phenomena,Caliente.
246,Bitter.,nanda7-2,,,,,,,,,,,manner,Amargo.
247,Small.,nandaawi,,,,,,,,,,,size,Pequeño.
248,In big strides or with legs apart.,nandaaga,,,,,,,,,,,manner,A zancadas o con las piernas separadas.
249,"Straight, upright. By extension, accurate.",nandi7,,,,,,,,,,,position,"Derecho, erguido. Por extensión, certero."
250,"Sour-faced, with a hostile look.",nandi7do7lu,,,,,,,,,,,character attributes,"Malencarado, de mal gesto."
251,With good aim.,nandi7na7,,,,,,,,,,,character attributes,Con buena puntería.
252,"Great, powerful.",nandxo7,,,,,,,,,,,character attributes,"Grande, poderoso."
253,"Persnickety, easily angry, bad tempered.",nani7di,,,,,,,,,,,character attributes,"Quisquilloso, enojón, irascible."
254,This lexeme describes someone who stutterers.,napaaparwaa,,,,,,,,,,,physical attributes,Tartamudo.
255,"Crushed, deformed.",napaaxu,,,,,,,,,,,shape,"Aplastado, abollado, deformado."
256,"Crooked, bent, warped.",napandu,,,,,pando,,,,,,position,"Torcido, chueco, pandeado."
257,Short person (pejorative).,napiirri,,,,,,,,,,,size,Chaparro (despectivo).
258,"Very small, tiny. Jiménez Girón (1979:140) states that this adjective is pejorative.",napiixku,,,,,,,,,,,size,"Pequeñito, pequeñín. Jiménez Girón (1979:140) indica que este adjetivo es despectivo."
259,"Tiny. By extension, short person.",napiizi,,,,,,,,,,,size,"Pequeñísimo. Por extensión, chaparro."
260,"Pretty, cute, adorable.",napiipi,,,,,,,,,,,physical attributes,"Bonito, lindo, que da ternura."
261,"Hairless, bald.",napiiru,,,,,,,,,,,physical attributes,"Pelón, calvo, sin pelo, sin vello."
262,"Big, in the sense of stocky or burly.",napoota,,,,,,,,,,,size,"Grandote, corpulento, grandulón."
263,Soft and slightly squishy.,napuupu,,,,,,,,,,,manner,Pachón.
264,"Noisy, boisterous.",naridxi7,,,,,,,,,,,behavior,"Escandaloso, ruidoso."
265,Scraped.,naraa,,,,,,,,,,,states,Raspado.
266,"Rough, scratchy, coarse.",naraaya,,,,,,,,,,,manner,"Áspero, rasposo, rugoso."
267,"Entangled, disheveled, matted, threadbare, frayed.",naracha,,,,,,,,,,,manner,"Enmarañado, desarreglado, raído, deshilachado, despelucado."
268,"Rough, irregular, uneven. With an unkempt appearance.",narangu,,,,,,,,,,,physical attributes,"Tosco, irregular, disparejo. De aspecto descuidado."
269,Hairy.,narazhi,,,,,,,,,,,physical attributes,"Peludo, con mucho cabello, pelo o vello."
270,Twisted or tangled up.,narenda,,,,,,,,,,,position,Torcido o enredado.
271,"Striped or mottled, as when grains are coarsely ground, or grooved, like stratiform clouds.",naredxe7,,,,,,,,,,,color,"Rayado o moteado, como cuando los granos no se muelen bien, o con forma de surco, como las nubes estratiformes."
272,"Spread out, spilled, broadcasted, disseminated.",nareeche,,,,,,,,,,,manner,"Esparcido, regado, diseminado, difundido."
273,"Of little substance and flavor as in the case of a Cucurbitaceae fruit (melon, watermelon, pumpkin, cucumber) that was cut too early or too late.",nareela,,,,,,,,,,,food,"De poca sustancia o sabor como en el caso de una fruta cucurbitácea (melón, sandía, calabaza, pepino) que se ha cortado antes de tiempo o demasiado tarde."
274,"Tender, delicate, as in the case of a newborn baby or of fresh corn on the cob.",nari7ni,,,,,,,,,,,manner,"Tierno, como un bebé recién nacido o como un elote."
275,Short.,naripi,,,,,,,,,,,size,Corto.
276,"Ignorant, illiterate, uncultured, uncouth.",nariri7,,,,,,,,,,,character attributes,"Ignorante, analfabeta, inculto, cimarrón."
277,Big.,naro7ba,,,,,,,,,,,size,Grande.
278,Outie belly button.,narolla,,,,,,,,,,,physical attributes,Ombligo abultado.
279,"Bulky, fat, thick.",naroo,,,,,,,,,,,size,"Abultado, gordo, grueso."
280,"Wild, restless, like some children.",narrechu,,,,,,,,,,,behavior,"Alocado, inquieto, como algunas infancias."
281,"Knock-kneed, with crooked legs.",narreempa,,,,,,,,,,,physical attributes,"Patizambo, de piernas chuecas."
282,State of fruits just before they begin to ripen and take on color.,naruzaa,,,,,,,,,,,states,"Sazón, como las frutas cuando apenas empiezan a tomar color y a madurarse."
283,"Shortened, truncated.",naruku,,,,,,,,,,,states,"Cortado, truncado."
284,"Broken, truncated, split, shortened, as in the case of a stump after a tree is felled.",narungu,,,,,,,,,,,states,"Tronchado, mocho, acortado, como queda el tocón después de cortar un árbol."
285,"Broken into pieces, crumbled, torn apart.",naruuzhe,,,,,,,,,,,states,"Despedazado, desmoronado, desbaratado."
286,Peeled.,naruxi,,,,,,,,,,,states,"Pelado, mondado."
287,"Wide-mouthed. By extension, rude or vulgar.",narwaalaga,,,,,,,,,,,physical attributes,"De boca ancha. Por extensión, grosero."
288,Face up.,nasa,,,,,,,,,,,position,Bocarriba.
289,Round like a plate.,nasa7mpa,,,,,,,,,,,shape,Redondo como plato.
290,Orphaned.,nasapi,,,,,,,,,,,social categories,Huérfano.
291,"Some indicate that this lexeme describes the state of a baby born prematurely. Perhaps by extension, some others define it as describing a person with a sickly appearance, or who is crazy or dumb.",nasee,,,,,,,,,,,states,"Algunos indican que este lexema describe la condición de un bebé que nació prematuro. Quizá por extensión, algunos otros lo definen como un descriptor de una persona de aspecto enfermizo, loca, o tonta como un pazguato."
292,Light (i.e. not heavy).,nasisi,,,,,,,,,,,manner,"Liviano, ligero."
293,Deep.,nasu,,,,,,,,,,,shape,Hondo.
294,"Flattened, dented.",nataaba,,,,,,,,,,,states,"Achatado, aplastado, abollado."
295,"Flattened, dented.",nataadxi,,,,,,,,,,,states,"Achatado, aplastado, abollado."
296,"Smashed, deformed, flaccid, especially as it refers to a misshapen foot. By extension, someone who has a limp due to a misshapen foot.",nataaka,,,,,,,,,,,shape,"Apachurrado, deformado, flácido, sobre todo en referencia a un pie malformado. Por extensión, alguien que cojea de un pie."
297,Staggering or stumbling because of insufficient strength to walk.,nataala,,,,,,,,,,,physical attributes,Que se tambalea o se tropieza por no tener suficiente fuerza para caminar.
298,"Loose, misaligned, off kilter.",nataata,,,,,,,,,,,position,"Aflojado, flojo, desajustado."
299,"Grayish in color, discolored as when something becomes moldy. By extension, it can refer to ringworm affecting the scalp.",nate,,,,,,,,,,,color,"De color grisáceo, despintado y descolorido, como cuando algo se enmohece. Por extensión, puede referirse a la tiña que afecta al cuero cabelludo."
300,"Weak, unsteady, without strength.",natende,,,,,,,,,,,physical attributes,"Débil, tambaleante, sin fuerza."
301,"Flat, even, uniform.",natilapa7,,,,,,,,,,,shape,"Plano, parejo, uniforme."
302,"Hunched over, bent over.",natigu,,,,,,,,,,,physical attributes,"Jorobado, doblado."
303,Scarred.,natiiba,,,,,,,,,,,physical attributes,"Cicatrizado, con cicatriz visible."
304,"Arched like a branch might be, or on tiptoe.",natiki,,,,,,,,,,,manner,"Arqueado como una rama, o de puntitas."
305,Shortened.,natipi,,,,,,,,,,,size,"Recortado, acortado."
306,"Describes someone's limb or part of a limb that has been amputated or mutilated, and by extension may describe the person.",natunku,,,,,tunco,,,,,,physical attributes,"Tunco, manco, mocho."
307,"Unkempt, tangled or matted, referring to hair.",natuucha,,,,,,,,,,,manner,"Despeinado, enredado o enmarañado, refiriéndose al cabello."
308,Blunt.,natuumbu,,,,,,,,,,,manner,Desafilado.
309,"Bruised, as in the case of fruit.",natuutu,,,,,,,,,,,states,Mallugado.
310,Stupid.,nawati,,,,,,,,,,,character attributes,Tonto.
311,Full of holes.,naweku,,,,,hueco,,,,,,states,"Agujerado, lleno de huecos."
312,"Blond or of fair skin, in relation to a woman.",nawera,,,,,gúera,,,,,,physical attributes,Güera.
313,"Blond or of fair skin, in relation to a man.",naweru,,,,,gúero,,,,,,color,Güero.
314,Small.,nawiini,,,,,,,,,,,size,Chiquito.
315,"Dense or thick, in relation to liquids.",naxtrooko,,,,,,,,,,,states,"Denso o espeso, con relación a líquidos."
316,"Rough, pockmarked.",naxaaya,,,,,,,,,,,manner,"Áspero, cacarizo."
317,Pockmarked.,naxadxi,,,,,,,,,,,physical attributes,Cacarizo.
318,"Rough, not smooth.",naxaku,,,,,,,,,,,manner,"Áspero, rasposo."
319,Jiménez Girón (1979:124) defines this lexeme as smooshed or deformed.,naxeembe,,,,,,,,,,,shape,"Jiménez Girón (1979:124) define este lexema como ""apachurrado, deformado""."
320,"Broad, coarse, crude, rough.",naxeta,,,,,,,,,,,manner,"Ancho, tosco, burdo, brusco."
321,"Bushy, full of brush, like a plot of land with a lot of wild growth.",naxii,,,,,,,,,,,states,"Tupido, lleno de monte, como un terreno con mucha maleza."
322,"Tangled in relation to hair, or gnarly in relation to wild plant growth.",naxiidi,,,,,,,,,,,states,"Enmarañado, ya sea con relación al cabello o a la maleza."
323,Excessive.,naxiiwi,,,,,,,,,,,manner,"Demasiado, excesivo, en exceso."
324,"Rough, not smooth, pockmarked.",naxoka,,,,,,,,,,,manner,"Áspero, rasposo, cacarizo."
325,Stumbling or staggering when walking.,naxondanyee,,,,,,,,,,,manner,Que tropieza o se tambalea al caminar.
326,"Shrunken into a deformed shape, as in the case of leather or plastic exposed to high heat.",naxuuni,,,,,,,,,,,shape,"Encogido, contraído, como el cuero o el plástico expuesto al calor fuerte."
327,"Atrophied, as in the case of a person's limb.",naxuuta,,,,,,,,,,,wellness,"Atrofiado, como en el caso de alguna extremidad del cuerpo."
328,Brittle.,naxuxu,,,,,,,,,,,manner,Quebradizo.
329,With large bulging eyes.,nayaandelu,,,,,,,,,,,physical attributes,De ojos saltones.
330,"Cracked, broken, split, truncated. It may be used in relation to wooden objects, ex. a stick, a table, a pencil, or other hard objects such as a computer.",nayache,,,,,,,,,,,states,"Quebrado, roto, partido, tronchado. Se puede usar en referencia a objetos de madera, ej. un palo, una mesa, un lápiz, o un objeto duro como una computadora."
331,Open.,nayelle7,,,,,,,,,,,position,Abierto.
332,"Rotten, decayed, corrupt.",nayuudxu,,,,,,,,,,,states,"Podrido, putrefacto, corrupto."
333,Forgetful.,naya7nda,,,,,,,,,,,character attributes,Olvidadizo.
334,"Lit, bright, clear. By extension, intelligent.",naya7ni,,,,,,,,,,,manner,"Iluminado, alumbrado, claro, despejado. Por extensión, inteligente."
335,"Clean, in reference to a place, an object, or a person. About the latter, and by extension, this adjective may describe someone who is arrogant, pretentious or vain.",naya,,,,,,,,,,,manner,"Limpio. Puede referirse a un lugar, a un objeto, o a una persona. Al tratarse de una persona, y por extensión, este adjetivo puede describir a una persona engreída, presumida o vanidosa."
336,"Yellow, yellowish (like amber or honey).",nayaachi,,,,,,,,,,,color,"De color amarillo, ámbar o miel."
337,"Funny, amusing, humorous, in reference to people, situations or speech acts.",nayaawi,,,,,,,,,,,communication,"Chistoso, gracioso, humorístico. Puede referirse a personas, situaciones o algo que se dice."
338,"Weakened because the item in question is rotten, worn out, eaten up inside (as in the case of plants), or saggy.",nayaabi,,,,,,,,,,,states,"Debilitado, ya sea por estar podrido, desgastado, carcomido, bofo, o desvencijado."
